"url","http_status","title","title_pixel_width","meta_description","description_character_count","h1","canonical","robots_meta","x_robots_tag","og_title","og_description","hreflang","detected_language","indexable","registry_title","registry_description","registry_og_title","registry_og_description","title_length","title_contains_tool_concept","title_avoids_boilerplate","title_brand_consistent","title_no_truncation","description_length","description_specific","canonical_self_referential","canonical_not_cross_language","noindex_absent","og_title_present","og_description_present"
"https://textcaseconverter.net/tools/webp-to-png/","200","WebP to PNG — Keep Transparency when Converting","282","Convert WebP to PNG while preserving transparency. Works in your browser, supports multiple files, and quick downloads.","119","","","","","","Convert WebP images to PNG.","","","true","WebP to PNG — Keep Transparency when Converting","Convert WebP to PNG while preserving transparency. Works in your browser, supports multiple files, and quick downloads.","","Convert WebP images to PNG.","PASS","PASS","PASS","FAIL","PASS","FAIL","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/png-to-webp/","200","PNG to WebP Converter — Compress Images, Keep Quality","318","Convert PNG images to WebP for smaller size with great quality. Fast, browser‑based, and secure. Drag‑and‑drop multiple files.","126","","","","","","Convert PNG images to WebP quickly.","","","true","PNG to WebP Converter — Compress Images, Keep Quality","Convert PNG images to WebP for smaller size with great quality. Fast, browser‑based, and secure. Drag‑and‑drop multiple files.","","Convert PNG images to WebP quickly.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/random-month/","200","Random Month Generator — Pick a Month (Any Year Range)","324","Pick random months with names or numbers. Choose year ranges and bulk-generate lists for planning, testing, and games.","118","","","","","","Pick random months with custom ranges.","","","true","Random Month Generator — Pick a Month (Any Year Range)","Pick random months with names or numbers. Choose year ranges and bulk-generate lists for planning, testing, and games.","","Pick random months with custom ranges.","PASS","PASS","PASS","FAIL","PASS","FAIL","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/remove-line-breaks/","200","Remove Line Breaks — Flatten Text to Single Lines","294","Remove line breaks and extra spaces from pasted text. Get compact, single‑line output for forms, code, or CSV. One‑click copy.","126","","","","","","Remove line breaks and spaces.","","","true","Remove Line Breaks — Flatten Text to Single Lines","Remove line breaks and extra spaces from pasted text. Get compact, single‑line output for forms, code, or CSV. One‑click copy.","","Remove line breaks and spaces.","PASS","FAIL","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/text-replace/","200","Text Replace — Find and Replace Text Online","258","Find and replace text in documents, code, or any text. Support for case-sensitive matching, regex patterns, and bulk replacement.","129","","","","","","Find and replace text with advanced options.","","","true","Text Replace — Find and Replace Text Online","Find and replace text in documents, code, or any text. Support for case-sensitive matching, regex patterns, and bulk replacement.","","Find and replace text with advanced options.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/text-counter/","200","Text Counter — Count Characters, Words, Lines & More","312","Count characters, words, lines, sentences, and paragraphs in any text. Get detailed statistics including reading time and character frequency.","142","","","","","","Count characters, words, lines, and get text statistics.","","","true","Text Counter — Count Characters, Words, Lines & More","Count characters, words, lines, sentences, and paragraphs in any text. Get detailed statistics including reading time and character frequency.","","Count characters, words, lines, and get text statistics.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/uuid-generator/","200","UUID Generator — Create UUID v1/v4 Identifiers","276","Generate UUIDs v1 (time-based) and v4 (random) safely. Copy, download, and bulk‑generate for apps, tests, and databases.","120","","","","","","Generate UUID v1/v4 identifiers.","","","true","UUID Generator — Create UUID v1/v4 Identifiers","Generate UUIDs v1 (time-based) and v4 (random) safely. Copy, download, and bulk‑generate for apps, tests, and databases.","","Generate UUID v1/v4 identifiers.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/slugify-url/","200","Slugify URL — SEO‑Friendly, Clean URLs from Text","288","Turn titles into SEO‑friendly slugs: lowercase, hyphens, and safe characters. Great for blogs, docs, and product pages.","119","","","","","","Create clean, SEO‑friendly slugs.","","","true","Slugify URL — SEO‑Friendly, Clean URLs from Text","Turn titles into SEO‑friendly slugs: lowercase, hyphens, and safe characters. Great for blogs, docs, and product pages.","","Create clean, SEO‑friendly slugs.","PASS","FAIL","PASS","FAIL","PASS","FAIL","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/roman-numeral-date/","200","Roman Numeral Date Converter — Today's Date to Roman","312","Convert any date to Roman numerals (and back). Great for wedding dates, plaques, and projects. Multiple formats supported.","122","","","","","","Convert dates ↔ Roman numerals.","","","true","Roman Numeral Date Converter — Today's Date to Roman","Convert any date to Roman numerals (and back). Great for wedding dates, plaques, and projects. Multiple formats supported.","","Convert dates ↔ Roman numerals.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/rot13/","200","ROT13 Encoder/Decoder — Simple Text Obfuscation","282","Encode or decode text with ROT13 instantly. A quick way to hide spoilers or answers. Copy results in one click. Free tool.","122","","","","","","Encode/decode text with ROT13.","","","true","ROT13 Encoder/Decoder — Simple Text Obfuscation","Encode or decode text with ROT13 instantly. A quick way to hide spoilers or answers. Copy results in one click. Free tool.","","Encode/decode text with ROT13.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/random-number/","200","Free Random Number Generator — Secure RNG for Tests & Games","354","Generate secure random numbers in a custom range. Great for games, testing, analysis, and sampling. Bulk output, no limits.","123","","","","","","Generate secure random numbers in any range. Bulk, no limits.","","","true","Free Random Number Generator — Secure RNG for Tests & Games","Generate secure random numbers in a custom range. Great for games, testing, analysis, and sampling. Bulk output, no limits.","","Generate secure random numbers in any range. Bulk, no limits.","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/url-converter/","200","URL Converter — Encode/Decode URLs Safely","246","Encode or decode URLs and query strings safely. Prevent broken links and invalid characters. Copy and validate instantly.","121","","","","","","Encode/decode URLs and queries.","","","true","URL Converter — Encode/Decode URLs Safely","Encode or decode URLs and query strings safely. Prevent broken links and invalid characters. Copy and validate instantly.","","Encode/decode URLs and queries.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/utm-builder/","200","UTM Builder — Tag Campaign URLs Correctly","246","Build campaign URLs with UTM parameters reliably. Validate and copy links for analytics. Prevent typos and inconsistent tagging.","128","","","","","","Create and validate UTM links.","","","true","UTM Builder — Tag Campaign URLs Correctly","Build campaign URLs with UTM parameters reliably. Validate and copy links for analytics. Prevent typos and inconsistent tagging.","","Create and validate UTM links.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/subscript-text/","200","Subscript Text Generator — X₂ Small Characters (Copy)","318","Create subscript characters (like X₂) for math and notation. Type, preview, copy & paste instantly. Free and unlimited.","119","","","","","","Create subscript characters (X₂).","","","true","Subscript Text Generator — X₂ Small Characters (Copy)","Create subscript characters (like X₂) for math and notation. Type, preview, copy & paste instantly. Free and unlimited.","","Create subscript characters (X₂).","PASS","PASS","PASS","FAIL","PASS","FAIL","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/sentence-case/","200","Sentence Case Converter — Capitalize Sentences","276","Convert text to Sentence case instantly. Fix capitalization at sentence level and tidy inconsistent text. Free and unlimited.","125","","","","","","Convert text to Sentence case.","","","true","Sentence Case Converter — Capitalize Sentences","Convert text to Sentence case instantly. Fix capitalization at sentence level and tidy inconsistent text. Free and unlimited.","","Convert text to Sentence case.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/repeat-text/","200","Text Repeater — Repeat Text with Custom Separators","300","Repeat lines or phrases many times with custom separators and numbering. Generate lists fast for tests, demos, and content.","123","","","","","","Repeat text with separators.","","","true","Text Repeater — Repeat Text with Custom Separators","Repeat lines or phrases many times with custom separators and numbering. Generate lists fast for tests, demos, and content.","","Repeat text with separators.","PASS","FAIL","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/pig-latin/","200","Pig Latin Translator — English ↔ Pig Latin","252","Translate English to Pig Latin and back for fun or learning. Paste text and copy results instantly. Free and unlimited.","119","","","","","","Translate English ↔ Pig Latin.","","","true","Pig Latin Translator — English ↔ Pig Latin","Translate English to Pig Latin and back for fun or learning. Paste text and copy results instantly. Free and unlimited.","","Translate English ↔ Pig Latin.","PASS","PASS","PASS","FAIL","PASS","FAIL","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/title-case/","200","Title Case Converter — Capitalize Titles Properly","294","Convert text to proper Title Case using common style rules. Fix capitalization for headlines, documents, and articles.","118","","","","","","Convert text to Title Case.","","","true","Title Case Converter — Capitalize Titles Properly","Convert text to proper Title Case using common style rules. Fix capitalization for headlines, documents, and articles.","","Convert text to Title Case.","PASS","PASS","PASS","FAIL","PASS","FAIL","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/sentence-counter/","200","Sentence Counter — Count Sentences, Fast & Accurate","306","Instantly count sentences in your text with high accuracy. Includes word/character stats and reading time. Free and unlimited.","126","","","","","","Count sentences with accurate text stats.","","","true","Sentence Counter — Count Sentences, Fast & Accurate","Instantly count sentences in your text with high accuracy. Includes word/character stats and reading time. Free and unlimited.","","Count sentences with accurate text stats.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/remove-text-formatting/","200","Remove Text Formatting — Convert to Plain Text","276","Strip bold/italic/fonts, links, and styles from pasted text. Get clean plain text for docs, emails, and code. One‑click copy.","125","","","","","","Strip styling to clean plain text.","","","true","Remove Text Formatting — Convert to Plain Text","Strip bold/italic/fonts, links, and styles from pasted text. Get clean plain text for docs, emails, and code. One‑click copy.","","Strip styling to clean plain text.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/webp-to-jpg/","200","WebP to JPG — Convert WebP Images for Compatibility","306","Convert WebP images back to JPG for apps that don't support WebP. Drag‑and‑drop and download quickly. Free and private.","119","","","","","","Convert WebP images to JPG.","","","true","WebP to JPG — Convert WebP Images for Compatibility","Convert WebP images back to JPG for apps that don't support WebP. Drag‑and‑drop and download quickly. Free and private.","","Convert WebP images to JPG.","PASS","PASS","PASS","FAIL","PASS","FAIL","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/utf8-converter/","200","UTF‑8 Converter — Decode/Encode UTF‑8 to Text","270","Decode UTF‑8 to readable text and encode text back to UTF‑8 safely. Fix garbled characters and encoding issues in seconds.","122","","","","","","Decode/encode UTF‑8 ↔ text.","","","true","UTF‑8 Converter — Decode/Encode UTF‑8 to Text","Decode UTF‑8 to readable text and encode text back to UTF‑8 safely. Fix garbled characters and encoding issues in seconds.","","Decode/encode UTF‑8 ↔ text.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/random-letter/","200","Random Letter Generator — Uppercase/Lowercase, Bulk","306","Generate random letters in uppercase, lowercase, or mixed. Control counts and avoid repeats. Copy lists instantly.","114","","","","","","Generate random letters (A–Z).","","","true","Random Letter Generator — Uppercase/Lowercase, Bulk","Generate random letters in uppercase, lowercase, or mixed. Control counts and avoid repeats. Copy lists instantly.","","Generate random letters (A–Z).","PASS","PASS","PASS","FAIL","PASS","FAIL","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/plain-text/","200","Plain Text Converter — Clean Text, No Formatting","288","Convert any text to plain text. Remove hidden styles, links, and fonts. Perfect for email, docs, and code snippets. One‑click copy.","131","","","","","","Convert to clean plain text.","","","true","Plain Text Converter — Clean Text, No Formatting","Convert any text to plain text. Remove hidden styles, links, and fonts. Perfect for email, docs, and code snippets. One‑click copy.","","Convert to clean plain text.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/random-choice/","200","Random Choice Picker — Fair Decision Maker","252","Pick a random choice from a list fairly. Avoid duplicates, choose counts, and export results. Great for raffles and decisions.","126","","","","","","Pick random choices fairly.","","","true","Random Choice Picker — Fair Decision Maker","Pick a random choice from a list fairly. Avoid duplicates, choose counts, and export results. Great for raffles and decisions.","","Pick random choices fairly.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/word-frequency/","200","Word Frequency Analyzer — Count Word Occurrences","288","Analyze word frequency in any text. Get counts, percentages, and stop‑word control for SEO, research, and editing. Export results.","130","","","","","","Analyze word frequency and counts.","","","true","Word Frequency Analyzer — Count Word Occurrences","Analyze word frequency in any text. Get counts, percentages, and stop‑word control for SEO, research, and editing. Export results.","","Analyze word frequency and counts.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/sort-words/","200","Sort Words — Alphabetize or Reverse Lists","246","Sort words or lines alphabetically (A→Z/Z→A). Remove duplicates and trim spaces. Perfect for lists, tags, and SEO clean‑up.","123","","","","","","Alphabetize words and lists.","","","true","Sort Words — Alphabetize or Reverse Lists","Sort words or lines alphabetically (A→Z/Z→A). Remove duplicates and trim spaces. Perfect for lists, tags, and SEO clean‑up.","","Alphabetize words and lists.","PASS","FAIL","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/uppercase/","200","Uppercase Converter — Make Text UPPERCASE","246","Convert any text to UPPERCASE instantly. Paste or type, then copy your result. Works with large texts. Free and unlimited.","122","","","","","","Convert text to UPPERCASE.","","","true","Uppercase Converter — Make Text UPPERCASE","Convert any text to UPPERCASE instantly. Paste or type, then copy your result. Works with large texts. Free and unlimited.","","Convert text to UPPERCASE.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/png-to-jpg/","200","PNG to JPG — Convert Transparent PNGs to JPG","264","Convert PNG files to JPG for better compatibility. Adjust quality, batch convert in the browser, and download in seconds.","121","","","","","","Convert PNG images to JPG.","","","true","PNG to JPG — Convert Transparent PNGs to JPG","Convert PNG files to JPG for better compatibility. Adjust quality, batch convert in the browser, and download in seconds.","","Convert PNG images to JPG.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/random-ip/","200","Random IP Address Generator — IPv4 & IPv6 for Testing","318","Generate random IPv4/IPv6 addresses for development and testing. CIDR ranges, private/public, bulk output.","106","","","","","","Random IPv4/IPv6 addresses with CIDR and bulk options.","","","true","Random IP Address Generator — IPv4 & IPv6 for Testing","Generate random IPv4/IPv6 addresses for development and testing. CIDR ranges, private/public, bulk output.","","Random IPv4/IPv6 addresses with CIDR and bulk options.","PASS","PASS","PASS","FAIL","PASS","FAIL","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/random-date/","200","Random Date Generator — Pick Dates in Any Range","282","Generate random dates within custom ranges. Choose formats, exclude weekends, and bulk-generate lists. Perfect for testing and sampling.","136","","","","","","Generate random dates in any range and format.","","","true","Random Date Generator — Pick Dates in Any Range","Generate random dates within custom ranges. Choose formats, exclude weekends, and bulk-generate lists. Perfect for testing and sampling.","","Generate random dates in any range and format.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/jpg-to-png/","200","JPG to PNG — Convert Photos to Transparent PNG","276","Convert JPG images to PNG with optional transparency. Drag‑and‑drop multiple files and download quickly. Free and private.","122","","","","","","Convert JPG images to PNG.","","","true","JPG to PNG — Convert Photos to Transparent PNG","Convert JPG images to PNG with optional transparency. Drag‑and‑drop multiple files and download quickly. Free and private.","","Convert JPG images to PNG.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/invisible-text/","200","Invisible Text Generator — Blank/Empty Characters (Copy)","336","Create invisible characters and blank spaces (zero‑width) for formatting and spacing. Copy & paste instantly.","109","","","","","","Blank/empty characters (copy).","","","true","Invisible Text Generator — Blank/Empty Characters (Copy)","Create invisible characters and blank spaces (zero‑width) for formatting and spacing. Copy & paste instantly.","","Blank/empty characters (copy).","PASS","PASS","PASS","FAIL","PASS","FAIL","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/csv-to-json/","200","CSV to JSON Converter — Fast, Accurate, Free","264","Convert CSV data to clean JSON and back. Handle headers, delimiters, and quotes. Copy, download, and validate structure.","120","","","","","","Convert CSV ↔ JSON with options.","","","true","CSV to JSON Converter — Fast, Accurate, Free","Convert CSV data to clean JSON and back. Handle headers, delimiters, and quotes. Copy, download, and validate structure.","","Convert CSV ↔ JSON with options.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/alternating-case/","200","Alternating Case — aLtErNaTiNg TeXt Generator","270","Generate alternating capitalization for fun text effects. Paste or type and copy instantly. Great for memes and playful copy.","125","","","","","","Generate alternating case text.","","","true","Alternating Case — aLtErNaTiNg TeXt Generator","Generate alternating capitalization for fun text effects. Paste or type and copy instantly. Great for memes and playful copy.","","Generate alternating case text.","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","FAIL","PASS","FAIL","PASS"
"https://textcaseconverter.net/tools/instagram-fonts/","200","Instagram Font Generator — Stylish Fonts for Bios & Captions","360","Make stylish Instagram fonts for bios and captions. Preview, copy & paste in one click. Free, fast, no limits.","110","","","","","","Stylish IG fonts for bios & captions.","","","true","Instagram Font Generator — Stylish Fonts for Bios & Captions","Make stylish Instagram fonts for bios and captions. Preview, copy & paste in one click. Free, fast, no limits.","","Stylish IG fonts for bios & captions.","PASS","PASS","PASS","FAIL","PASS","FAIL","FAIL","FAIL","FAIL","PASS","FAIL","PASS"
